,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-02-25,4.988784975281506,6.329627835840619,12.107094294421636,15.42025516464502,17.884560753002653,19.384560753002653
2018-02-26,4.975391260822218,6.315313805287003,12.104446223583322,15.424018830869382,17.893578641879643,19.393578641879643
2018-02-27,4.961728466700934,6.300797462184866,12.10164121816285,15.427540984558025,17.902484974140833,19.402484974140833
2018-02-28,4.947802754905024,6.286086297157975,12.098684080860618,15.430822544549207,17.91128186456326,19.41128186456326
2018-03-01,4.9336203741620155,6.271187824921518,12.095579707356016,15.43386464000739,17.919971589790514,19.419971589790514
2018-03-02,4.91918765559645,6.256109580755141,12.0923330803347,15.436668604037859,17.92855657991426,19.42855657991426
2018-03-03,4.904511008622439,6.240859117214822,12.088949263662885,15.439235967384274,17.93703941011095,19.43703941011095
2018-03-04,4.889596917067083,6.225444001071006,12.085433396705268,15.441568452219117,17.945422792339528,19.445422792339528
2018-03-05,4.87445193552283,6.209871810463852,12.081790688786404,15.4436679660399,17.953709567108955,19.453709567108955
2018-03-06,4.859082685925524,6.194150132265427,12.078026413793634,15.445536595681649,17.96190269532184,19.46190269532184
2018-03-07,4.843495854352678,6.178286559637003,12.07414590491743,15.447176601453267,17.970005250197858,19.470005250197858
2018-03-08,4.827698188038477,6.162288689771888,12.07015454952701,15.448590411406958,17.97802040928213,19.47802040928213
2018-03-09,4.811696492600377,6.146164121812965,12.066057784177023,15.449780615747072,17.98595144654108,19.48595144654108
2018-03-10,4.79549762947083,6.129920454933277,12.061861089740072,15.450749961383243,17.993801724546866,19.493801724546866
2018-03-11,4.779108513530168,6.113565286570679,12.057569986661981,15.451501346634231,18.001574686753283,19.501574686753283
2018-03-12,4.7625361109329996,6.097106210804399,12.053190030333136,15.452037816084635,18.009273849861874,19.509273849861874
2018-03-13,4.745787437122272,6.080550816863416,12.04872680657082,15.452362555597762,18.016902796278224,19.516902796278224
2018-03-14,4.728869555025527,6.063906687757277,12.044185927208124,15.452478887487985,18.02446516665897,19.52446516665897
2018-03-15,4.71178957342471,6.047181399017136,12.03957302578134,15.4523902658516,18.031964652545547,19.531964652545547
2018-03-16,4.694554645493596,6.03038251753777,12.034893753310923,15.452100272057946,18.039404989084076,19.539404989084076
2018-03-17,4.677171967496146,6.013517600510954,12.030153774170113,15.451612610400874,18.04678994782927,19.54678994782927
2018-03-18,4.659648777636642,5.99659419443826,12.025358762032878,15.450931103907692,18.054123329627497,19.554123329627497
2018-03-19,4.641992355056547,5.979619834215885,12.020514395897253,15.45005969030664,18.06140895757862,19.56140895757862
2018-03-20,4.624210018968021,5.962602042279228,12.01562635617477,15.449002418147835,18.068650670070312,19.568650670070312
2018-03-21,4.60630912791753,5.945548327798818,12.010700320840755,15.447763443076377,18.07585231388269,19.57585231388269
2018-03-22,4.588297079171846,5.928466185918209,12.005741961638899,15.446347024254191,18.08301773735959,19.58301773735959
2018-03-23,4.570181308217288,5.9113630970234174,12.000756940332485,15.444757520925684,18.09015078364155,19.59015078364155
2018-03-24,4.551969288364267,5.894246526034764,11.995750904995731,15.442999389122805,18.0972552839567,19.5972552839567
2018-03-25,4.533668530449916,5.877123921713162,11.990729486340095,15.44107717850592,18.10433505096703,19.60433505096703
2018-03-26,4.515286582627886,5.8600027159692925,11.985698294066369,15.438995529332246,18.111393872163447,19.611393872163447
2018-03-27,4.496831030239023,5.842890323169105,11.980662913238746,15.436759169548505,18.118435503308387,19.618435503308387
2018-03-28,4.478309495752304,5.825794139424986,11.975628900672794,15.434372911999493,18.1254636619206,19.6254636619206
2018-03-29,4.459729638767325,5.808721541864124,11.970601781331478,15.431841651745888,18.132482020798832,19.632482020798832
2018-03-30,4.441099156070271,5.791679887866592,11.965587044724629,15.429170363485387,18.139494201582664,19.639494201582664
2018-03-31,4.42242578173191,5.774676514262479,11.960590141303843,15.42636409906702,18.146503768345205,19.646503768345205
2018-04-01,4.403717287239153,5.75771873648081,11.95561647884866,15.423427985091902,18.153514221216508,19.653514221216508
2018-04-02,4.38498148165054,5.7408138476421176,11.950671418838883,15.420367220591924,18.16052899003565,19.66052899003565
