,Fajr,Shorouq,Zohr,Asr,Maghrib,Isha
2018-03-10,04:47:43 AM,06:07:47 AM,12:03:42 PM,03:27:02 PM,05:59:37 PM,07:29:37 PM
2018-03-11,04:46:44 AM,06:06:48 AM,12:03:27 PM,03:27:05 PM,06:00:05 PM,07:30:05 PM
2018-03-12,04:45:45 AM,06:05:49 AM,12:03:11 PM,03:27:07 PM,06:00:33 PM,07:30:33 PM
2018-03-13,04:44:44 AM,06:04:49 AM,12:02:55 PM,03:27:08 PM,06:01:00 PM,07:31:00 PM
2018-03-14,04:43:43 AM,06:03:50 AM,12:02:39 PM,03:27:08 PM,06:01:28 PM,07:31:28 PM
2018-03-15,04:42:42 AM,06:02:49 AM,12:02:22 PM,03:27:08 PM,06:01:55 PM,07:31:55 PM
2018-03-16,04:41:40 AM,06:01:49 AM,12:02:05 PM,03:27:07 PM,06:02:21 PM,07:32:21 PM
2018-03-17,04:40:37 AM,06:00:48 AM,12:01:48 PM,03:27:05 PM,06:02:48 PM,07:32:48 PM
2018-03-18,04:39:34 AM,05:59:47 AM,12:01:31 PM,03:27:03 PM,06:03:14 PM,07:33:14 PM
2018-03-19,04:38:31 AM,05:58:46 AM,12:01:13 PM,03:27:00 PM,06:03:41 PM,07:33:41 PM
2018-03-20,04:37:27 AM,05:57:45 AM,12:00:56 PM,03:26:56 PM,06:04:07 PM,07:34:07 PM
2018-03-21,04:36:22 AM,05:56:43 AM,12:00:38 PM,03:26:51 PM,06:04:33 PM,07:34:33 PM
2018-03-22,04:35:17 AM,05:55:42 AM,12:00:20 PM,03:26:46 PM,06:04:58 PM,07:34:58 PM
2018-03-23,04:34:12 AM,05:54:40 AM,12:00:02 PM,03:26:41 PM,06:05:24 PM,07:35:24 PM
2018-03-24,04:33:07 AM,05:53:39 AM,11:59:44 AM,03:26:34 PM,06:05:50 PM,07:35:50 PM
2018-03-25,04:32:01 AM,05:52:37 AM,11:59:26 AM,03:26:27 PM,06:06:15 PM,07:36:15 PM
2018-03-26,04:30:55 AM,05:51:36 AM,11:59:08 AM,03:26:20 PM,06:06:41 PM,07:36:41 PM
2018-03-27,04:29:48 AM,05:50:34 AM,11:58:50 AM,03:26:12 PM,06:07:06 PM,07:37:06 PM
2018-03-28,04:28:41 AM,05:49:32 AM,11:58:32 AM,03:26:03 PM,06:07:31 PM,07:37:31 PM
2018-03-29,04:27:35 AM,05:48:31 AM,11:58:14 AM,03:25:54 PM,06:07:56 PM,07:37:56 PM
2018-03-30,04:26:27 AM,05:47:30 AM,11:57:56 AM,03:25:45 PM,06:08:22 PM,07:38:22 PM
2018-03-31,04:25:20 AM,05:46:28 AM,11:57:38 AM,03:25:34 PM,06:08:47 PM,07:38:47 PM
2018-04-01,04:24:13 AM,05:45:27 AM,11:57:20 AM,03:25:24 PM,06:09:12 PM,07:39:12 PM
2018-04-02,04:23:05 AM,05:44:26 AM,11:57:02 AM,03:25:13 PM,06:09:37 PM,07:39:37 PM
2018-04-03,04:21:58 AM,05:43:26 AM,11:56:44 AM,03:25:01 PM,06:10:03 PM,07:40:03 PM
2018-04-04,04:20:50 AM,05:42:25 AM,11:56:27 AM,03:24:50 PM,06:10:28 PM,07:40:28 PM
2018-04-05,04:19:43 AM,05:41:25 AM,11:56:09 AM,03:24:37 PM,06:10:53 PM,07:40:53 PM
2018-04-06,04:18:35 AM,05:40:25 AM,11:55:52 AM,03:24:25 PM,06:11:19 PM,07:41:19 PM
2018-04-07,04:17:28 AM,05:39:26 AM,11:55:35 AM,03:24:12 PM,06:11:44 PM,07:41:44 PM
2018-04-08,04:16:20 AM,05:38:27 AM,11:55:18 AM,03:23:58 PM,06:12:10 PM,07:42:10 PM
2018-04-09,04:15:13 AM,05:37:28 AM,11:55:02 AM,03:23:45 PM,06:12:36 PM,07:42:36 PM
2018-04-10,04:14:06 AM,05:36:30 AM,11:54:45 AM,03:23:31 PM,06:13:01 PM,07:43:01 PM
2018-04-11,04:12:59 AM,05:35:32 AM,11:54:29 AM,03:23:17 PM,06:13:27 PM,07:43:27 PM
2018-04-12,04:11:52 AM,05:34:34 AM,11:54:14 AM,03:23:02 PM,06:13:53 PM,07:43:53 PM
2018-04-13,04:10:45 AM,05:33:37 AM,11:53:58 AM,03:22:48 PM,06:14:19 PM,07:44:19 PM
2018-04-14,04:09:39 AM,05:32:40 AM,11:53:43 AM,03:22:33 PM,06:14:46 PM,07:44:46 PM
2018-04-15,04:08:33 AM,05:31:44 AM,11:53:28 AM,03:22:18 PM,06:15:12 PM,07:45:12 PM
2018-04-16,04:07:27 AM,05:30:49 AM,11:53:14 AM,03:22:02 PM,06:15:39 PM,07:45:39 PM
2018-04-17,04:06:21 AM,05:29:54 AM,11:53:00 AM,03:21:47 PM,06:16:05 PM,07:46:05 PM
2018-04-18,04:05:16 AM,05:29:00 AM,11:52:46 AM,03:21:32 PM,06:16:32 PM,07:46:32 PM
2018-04-19,04:04:12 AM,05:28:06 AM,11:52:33 AM,03:21:16 PM,06:16:59 PM,07:46:59 PM
2018-04-20,04:03:07 AM,05:27:13 AM,11:52:20 AM,03:21:00 PM,06:17:27 PM,07:47:27 PM
2018-04-21,04:02:04 AM,05:26:20 AM,11:52:07 AM,03:20:45 PM,06:17:54 PM,07:47:54 PM
2018-04-22,04:01:00 AM,05:25:29 AM,11:51:55 AM,03:20:29 PM,06:18:22 PM,07:48:22 PM
2018-04-23,03:59:58 AM,05:24:38 AM,11:51:44 AM,03:20:13 PM,06:18:49 PM,07:48:49 PM
2018-04-24,03:58:55 AM,05:23:48 AM,11:51:32 AM,03:19:58 PM,06:19:17 PM,07:49:17 PM
2018-04-25,03:57:54 AM,05:22:58 AM,11:51:22 AM,03:19:42 PM,06:19:45 PM,07:49:45 PM
2018-04-26,03:56:53 AM,05:22:09 AM,11:51:11 AM,03:19:26 PM,06:20:14 PM,07:50:14 PM
2018-04-27,03:55:52 AM,05:21:21 AM,11:51:02 AM,03:19:11 PM,06:20:42 PM,07:50:42 PM
2018-04-28,03:54:53 AM,05:20:34 AM,11:50:53 AM,03:18:55 PM,06:21:11 PM,07:51:11 PM
